,005930.KS,AAPL,AMD,DELL,HPQ,INTC,NVDA,QCOM
005930.KS,1.0,0.07147916756216519,0.0628324509834238,0.12250608824465978,0.14530474857742096,0.07738241984529474,0.08288644969080124,0.09987199961554508
AAPL,0.07147916756216519,1.0,0.561666584976104,0.40675061589908235,0.46544703929077863,0.4919037078515292,0.6063884100349698,0.6195725859198815
AMD,0.0628324509834238,0.561666584976104,1.0,0.4269813067907301,0.4158769884403586,0.486573250018786,0.7469402044979943,0.6345132367955071
DELL,0.12250608824465978,0.40675061589908235,0.4269813067907301,1.0,0.5834392721637106,0.42470763852331533,0.4767096767079978,0.4697810161542617
HPQ,0.14530474857742096,0.46544703929077863,0.4158769884403586,0.5834392721637106,1.0,0.44805298671802785,0.4304194757557206,0.4891851500326768
INTC,0.07738241984529474,0.4919037078515292,0.486573250018786,0.42470763852331533,0.44805298671802785,1.0,0.4833412586479193,0.5777426579612893
NVDA,0.08288644969080124,0.6063884100349698,0.7469402044979943,0.4767096767079978,0.4304194757557206,0.4833412586479193,1.0,0.6620943137524353
QCOM,0.09987199961554508,0.6195725859198815,0.6345132367955071,0.4697810161542617,0.4891851500326768,0.5777426579612893,0.6620943137524353,1.0

